epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.784,0,102.24,0,0,0,0,0,0,119.068,0,0.0006,0.0006,0.0006
2,398.556,0,72.3074,0,0,0,0,0,0,62.9901,0,0.00119584,0.00119584,0.00119584
3,585.604,0,57.3786,0,0,0,0,0,0,63.5079,0,0.00176714,0.00176714,0.00176714
4,787.282,0,42.6832,0,0,0,0,0,0,11.1968,0,0.0018812,0.0018812,0.0018812
5,977.778,0,31.4531,0,0,0,0,0,0,30.7339,0,0.0018416,0.0018416,0.0018416
6,1175.82,0,22.4669,0,0,0,0,0,0,23.9958,0,0.001802,0.001802,0.001802
7,1372.21,0,15.6816,0,0,0,0,0,0,15.9936,0,0.0017624,0.0017624,0.0017624
